Fecha,Gas licuado,Regular,Superior,Diesel
ago-11,565627.93,201844.49,270765.31,1014324.28
sep-11,382310.38,260669.22,335803.82,795554.71
oct-11,319091.05,239711.91,351555.66,612133.26
nov-11,384368.36,237803.48,450212.8,575406.48
dic-11,141052.55,367820.54,534925.36,732921.03
ene-12,481781.48,318283.44,434648.17,790123.23
feb-12,162561.29,253583.96,372893.49,887963.98
mar-12,521493.74,255492.16,354160.85,978693.29
abr-12,131958.4,189948.79,399701.69,697871.28
may-12,510506.81,241786.29,380531.85,833370.09
jun-12,527672.26,320566.69,550379.33,767124.65
jul-12,165424.21,142232.47,271509.2,1021995.9
ago-12,387892.07,263677.23,361307.2,626706.23
sep-12,530897.79,201347.56,372989.29,619651.27
oct-12,162208.43,374301.51,600094.03,463054.77
nov-12,569345.86,197398.8,359818.54,538552.89
dic-12,152926.76,287980.58,419029.17,1324780.96
ene-13,575318.45,396416.84,433924.69,749266.68
feb-13,142772.81,235502.58,470483.98,709843.02
mar-13,569013.24,439386.62,429974.17,832627.57
abr-13,508649.45,274680.65,430259.18,860094.78
may-13,181461.6,281823.2,532379.66,1202187.85
jun-13,536847.17,293808.6,284038.03,729711.88
jul-13,352909.02,259025.83,486075.06,693160.5
ago-13,359346,221433.2,347066.11,505133.44
sep-13,394985.89,300794.99,373303.31,803626.98
oct-13,415869.34,281168.85,372946.33,980327.98
nov-13,425669.24,390941.15,496029.72,903218.47
dic-13,452414.08,210096.78,358799.64,791698.89
ene-14,371888.73,487880.79,457365.46,1595698.56
feb-14,336845.19,312423.86,455726.06,688703.18
mar-14,358755.83,472437.63,582572.93,1147182.5
abr-14,466766.95,207049,270302.22,845051.33
may-14,554784.32,417767.24,563319.79,1008148.07
jun-14,359135.62,247114.99,404603.55,694920.68
jul-14,417570.34,454196.13,558403.41,845875.86
ago-14,416068.3,305285.53,398563.48,760353.37
sep-14,408998.93,378741.56,547486.22,598145.89
oct-14,314868.89,256340.49,379572.07,762763.24
nov-14,487343.72,372809.93,533524.4,1033873.16
dic-14,380185.96,491072.11,583081.57,1004032.65
ene-15,523352.31,371420.59,471973.3,1324421.96
feb-15,421268.22,548714.53,664315.85,955286.02
mar-15,497168.6,453536.19,622883.1,1164885.97
abr-15,519603.84,537064.59,599558.55,1130870.79
may-15,415890.34,534049.28,618319.21,954782.75
jun-15,526358.48,394824.33,525280.85,862071.77
jul-15,411971.43,519374.15,616269.01,1149630.43
ago-15,561563.81,328552.07,467373.13,919285.9
sep-15,480268.89,485906.49,576250.29,754068.77
oct-15,423239.36,432666.75,533620.64,1163425.95
nov-15,637316.48,574547.76,724273.97,904700.42
dic-15,500684.29,319329.71,498798.79,1113876.28
ene-16,748970.64,546876.54,729211.43,987507.78
feb-16,287337.74,424074.81,405559.45,1167227.96
mar-16,504451.07,508542.18,771024.11,1498844.95
abr-16,587482.69,527083.64,502728.88,1137213.1
may-16,416912.47,528347.81,615900.31,1035544.08
jun-16,703319.23,397477.4,502082.45,800222.53
jul-16,455823.14,526652.73,618366.1,859222.62
ago-16,588310.54,512202.57,625218.9,701185.75
sep-16,306543.41,567786.57,677892.97,1274128.31
oct-16,717388.57,455850.76,546154.65,927923.5
nov-16,505975.98,476784.16,725548.16,957656.05
dic-16,584807.19,473659.59,526573.96,1303735.78
ene-17,567345.82,527564.9,748233.58,842993.49
feb-17,279527.23,469140.06,497707.41,844676.98
mar-17,780048.59,608144.98,734984.24,1351787.92
abr-17,530578.14,681303.11,632843.41,1406022.43
may-17,604702.55,386088.18,442311.09,889926.86
jun-17,487244.19,519389.66,582374.34,902659
jul-17,510428.14,433026.08,769214.06,994338.3
ago-17,538582.14,592103.31,607368.72,846696.35
sep-17,350294.57,316435.22,401678.98,925397.87
oct-17,584709.61,574073.61,657241.76,740198.57
nov-17,935986.51,434963.36,504247.31,1135350.1
dic-17,595421.43,679441.47,803216.88,1305047.55
ene-18,396363.05,571858.06,535784.7,0
feb-18,591000.02,509366.1,629467.91,0
mar-18,644245.4,563899.06,529507.15,0
abr-18,188590.81,510830,617512.28,0
may-18,636234.13,580825.11,580329.35,0
jun-18,618811.33,463620.61,558257.59,0
jul-18,584386.15,543333.77,784601.77,0
ago-18,408658.63,663834.04,541557.34,0
sep-18,449846.76,454442.87,536897.09,0
oct-18,600230.45,726044.35,663440.34,0
nov-18,598626.16,534084.49,509382.86,0
dic-18,614887,535639.97,631652.56,0
ene-19,414086.12,702923.37,684504.84,0
feb-19,460518.8,469437.28,521555.38,0
mar-19,384425.56,678145.38,704276.53,0
abr-19,670633.92,867761.34,656495.95,0
may-19,623466.22,596798.22,568128.41,0
jun-19,612732.27,712731.8,629788.43,0
jul-19,667486.78,531577.64,516273.85,0
ago-19,586430.65,896841.31,713859.98,0
sep-19,850778.21,518043.68,491194.71,0
oct-19,225207.04,712672.38,691407.73,0
nov-19,610868.12,791039.02,658706.42,0
dic-19,600003.85,731012.24,797580.75,0
ene-20,715600.32,629414.9,573220.63,0
feb-20,451331.7,741509.07,611314.13,0
mar-20,643278.89,735491.29,809640.18,0
abr-20,510349.93,329134.18,453153.09,0
may-20,616381.45,415805.82,170292.5,0
jun-20,467664.76,683322.72,415672.19,0
jul-20,675337.54,451717.75,347541.59,0
ago-20,634320.07,547899.55,414416.34,0
sep-20,315527.09,591799.83,563742.5,0
oct-20,960840.53,861840.54,733692.01,0
nov-20,328603.13,696600.14,570262.17,0
dic-20,684160.08,780347.28,777450.55,0
ene-21,475619.49,626537.48,642652.37,0
feb-21,617783.16,715261.34,726508.78,0
mar-21,549815.26,772750.01,850334.64,0
abr-21,664443.94,634408.89,1227173.53,0
may-21,678501.06,669085.78,649783.14,0
jun-21,466658.55,833544.64,623695.2,0
jul-21,665263.1,833732.31,689717.29,0
ago-21,746002.48,664522.74,685977.45,0
sep-21,689829.47,844430.03,646233.31,0
oct-21,696346.9,522701.11,589405.56,0
nov-21,524186.5,692267.31,623392.63,0
dic-21,679415.09,785313.56,640981.15,0
ene-22,657185.74,848902.97,947226.27,0
feb-22,673218.3,723925.74,673653.8,0
mar-22,713553.44,772406.1,592318.21,0
abr-22,693964.4,906104.05,493958.32,0
may-22,667272.19,762776.12,663348.94,0
jun-22,265773.77,641348.46,556311.96,0
jul-22,717652.72,987872.05,611115.01,0
ago-22,735253.72,657942.72,378627.69,0
sep-22,421303.21,869579.64,551589.72,0
oct-22,717849.25,718920.2,529832.42,0
nov-22,691237.42,754135.86,595870.42,0
dic-22,671444.61,841323.98,602458.3,0
ene-23,497780.69,909391.13,578792.14,0
feb-23,652984.71,725101.2,685183.06,0
mar-23,711978.35,803262.67,633849.05,0
abr-23,647666.3,922032.39,572201.36,0
may-23,713348.99,947633.29,668478.73,0
