Fecha,Gas licuado,Regular,Superior,Diesel
nov-05,222988.53,185251.12,360869.14,701255.47
dic-05,225410.43,241035.13,448688.52,775027.2
ene-06,217867.31,211152.72,382078.88,750946.36
feb-06,212328.61,200551.4,367944.25,734530.76
mar-06,232405.36,233082.86,427567.58,875047.29
abr-06,207612.27,223479.45,392050.29,711185.23
may-06,232489.83,222710.9,379832.55,734289.15
jun-06,236563.83,196511.22,364359.35,672428.87
jul-06,239767.85,210255.7,392252.91,684438.7
ago-06,245672.02,211202.14,394585.28,707219.69
sep-06,256040.1,204369.99,382724.97,650791.38
oct-06,238514.63,203061.39,400793.81,683543.13
nov-06,228417.44,205541.91,401922.57,739181.99
dic-06,236333.11,233936.83,454373.13,776330.26
ene-07,217344.66,216560.79,418412.86,810372.66
feb-07,211149.36,204991.91,401425.14,799394.6
mar-07,264115.98,239019.91,454731.09,956680.19
abr-07,224818.88,217536.23,403732.56,758988.58
may-07,259749.48,224400.73,426414.71,811703.69
jun-07,244505.28,217473.91,390991.36,720896.77
jul-07,261555.62,219874.23,416497.41,721550.61
ago-07,267634.12,236565.57,411088.53,736620.9
sep-07,254081.76,207241.84,390568.99,669587.88
oct-07,264936.66,224750.77,419001.81,738702.86
nov-07,250108.61,218116.79,417490.77,779547.05
dic-07,253659.53,252394.11,438542.79,768886.87
ene-08,252508.33,213645.39,403266.74,797668.91
feb-08,241978.08,215873.67,407735.55,794000.25
mar-08,247679.04,233761.07,424157.28,776026.79
abr-08,243178.03,233687.28,399193.53,807725.77
may-08,240798.46,236635.85,390882.63,682326.18
jun-08,242422.57,200656.57,337464.32,507662.65
jul-08,243531.97,228640.21,374847.05,544399.26
ago-08,237062.52,227499,378363.76,556174.4
sep-08,225262.46,218214.64,367962.73,557802.62
oct-08,263100.5,238955.44,386430.4,617863.13
nov-08,230092.62,238626.16,375438.69,688104.11
dic-08,245852.65,298245.47,463343.73,778953.84
ene-09,217372.42,273494.16,424264.5,800526.47
feb-09,212038.24,254667.7,424438.71,795050.51
mar-09,235475.32,290343.28,434248.69,865981.57
abr-09,209739.17,290887.08,454265.4,822109.74
may-09,221884.47,276970.67,432401.49,770687.28
jun-09,221329.63,252551.99,393140.38,703815.55
jul-09,241510.2,283142.05,435256.09,740868.09
ago-09,232174.11,267830.84,409182.96,692376.7
sep-09,225886.43,248994.42,420238.71,687435.1
oct-09,235899.13,269008.52,421753.29,775739.56
nov-09,232172.83,212149.91,391754.81,738678.65
dic-09,215923.38,296805.29,449842.29,891670.41
ene-10,228078.62,243341.49,389068.41,777741.34
feb-10,214409.69,248207.93,391195.69,807692.1
mar-10,242081.59,320985.41,465664.59,1017058.18
abr-10,216150.67,254872.61,387063.18,762770.01
may-10,215523.54,238903.31,381811.18,721668.18
jun-10,226415.07,251896.39,385981.1,683236.54
jul-10,243063.35,278700.49,422481.8,721584.6
ago-10,245908.42,268917.79,410176.39,695796.33
sep-10,233404.9,266975.25,396429.75,687553.88
oct-10,236852.35,275031.21,418305.07,745415.51
nov-10,255841.85,273452.94,409652.73,785917.4
dic-10,251825.2,320807.17,466766.78,843762
ene-11,244328.91,285089.04,411737.33,850696.79
feb-11,228479,269301.38,391131.1,819940.5
mar-11,255792.92,281453.75,393160.91,900485.91
abr-11,237582.68,285598.37,386749.27,797527.23
may-11,247975.28,253277.88,371876.75,803849.53
jun-11,247082.28,290137.49,380800.43,729676.79
jul-11,259033.89,279283.36,389294.64,718255.06
ago-11,259688.74,256380.27,408494.51,699736.08
sep-11,251882.54,256728.25,380453.23,660384.93
oct-11,262255.14,242071.01,381309.5,672214.93
nov-11,252218.21,231413.83,381871.84,794507.24
dic-11,263892.43,291678.03,449904.1,862318.8
ene-12,242524.9,261933.68,393781.94,814956.72
feb-12,243810.95,253733.22,402633.55,848067.25
mar-12,270906.08,290286.65,429534.5,925065.27
abr-12,249493.66,262615.28,389264.02,792201.73
may-12,261657.41,235374.04,405877.41,771542.47
jun-12,255333.43,261012.58,409111.24,712464.94
jul-12,271101.94,233061.35,420370.6,699130.04
ago-12,280184.27,259165.94,433828.02,716720.36
sep-12,268875.1,228205.77,378478.8,632120.37
oct-12,297829.17,261347.22,414523.22,728414.88
nov-12,303422.01,272657.82,394751.47,812523.44
dic-12,281757.56,310407.04,442191.43,848262.93
ene-13,291844,287985.59,408557.45,863769.41
feb-13,253221.89,259659.66,361215.69,808853.97
mar-13,286869.62,313075.45,413744.86,898352.2
abr-13,287216.3,330070.65,409238.3,966103.92
may-13,301770.53,313131.36,403354.79,827601.25
jun-13,275921.37,287596.64,402012.07,775187.12
jul-13,292790.1,314185.61,425154.22,732544.52
ago-13,282844.32,288400.67,416968.15,773147.9
sep-13,278403.42,249357.42,379479.78,672125.16
oct-13,285195.01,314518.72,430179.69,800049.12
nov-13,253022.23,306638.45,404692.46,821457.45
dic-13,282335.47,339969.85,448135.35,860351.9
ene-14,288260.8,312139.77,412617.93,917251.54
feb-14,304312.13,312142.65,385430.58,890362.31
mar-14,284201.43,335869.63,434863.96,1004937.39
abr-14,250902.83,349155.3,437470.07,972039.42
may-14,305911.84,332737.37,427487.2,877263.31
jun-14,285640.44,303016.82,387299.1,733508.7
jul-14,289827.6,344659.64,439137.13,826918.81
ago-14,272617.6,326356.06,442953.1,793694.01
sep-14,271079.59,371327.13,411466.28,728498.84
oct-14,337006.14,343812.67,459922.48,836278.12
nov-14,303666.7,343918.56,436467.9,885713.74
dic-14,311419.96,464223.15,538899.26,1021378.09
ene-15,317220.91,419102.72,503135.7,1014706.21
feb-15,315364.36,398167.69,454190.88,980149.84
mar-15,338142.32,457246.14,521879.26,1142551.06
abr-15,320920.88,413451.11,486779.41,1011167.74
may-15,328177.8,415570.95,483594.83,944316.66
jun-15,331140.05,414466.18,480892.11,880016.47
jul-15,363251.96,440729.53,515322.66,902586.36
ago-15,333215.61,439588.9,513413,887796.85
sep-15,364351.76,422826.59,501658.04,734654.22
oct-15,364469.55,448971.88,532741.14,834285.95
nov-15,353643.08,423841.82,516486.95,925431
dic-15,355233.65,499839.17,600161.72,1047478.84
ene-16,346512.22,433180.34,545737.53,1084043.63
feb-16,368867.55,450916.35,540459.19,1055672.64
mar-16,372223.42,486255.94,575720.92,1107296.65
abr-16,357084.22,467472.2,545605.47,1149175.19
may-16,377629.02,468710.38,551000.79,1019984.4
jun-16,355848.99,450758.18,537583.25,888538.1
jul-16,350429.77,465270.48,562778.84,883716.04
ago-16,363859.51,485995.83,585748.5,866270.02
sep-16,356426.23,456946.75,548491.65,877800.56
oct-16,373503.78,476277.64,573754.73,916410.7
nov-16,372904.63,463726.21,547323.53,1019671.97
dic-16,372690.46,524242.31,615251.51,1113827.1
ene-17,358706.82,477291.93,546212.16,1079339.3
feb-17,357497.97,453665.32,526888.94,1052536.01
mar-17,351791.93,523943.6,592249.34,1216423.42
abr-17,360957.7,500063.03,530345.96,1032813.29
may-17,377492.16,516884.37,588861.62,1034806.24
jun-17,378328.46,478491.95,549378.05,897511.89
jul-17,369948.64,521730.41,607702.7,938887.64
ago-17,385834.28,514086.57,604650.34,950188.14
sep-17,447373.59,492618.55,560892.67,894363.58
oct-17,393901.92,512762.32,583658.83,935986.17
nov-17,409332.86,510631.29,563345.61,1038598.26
dic-17,404574.36,574097.7,635423.76,1117711.45
ene-18,421848.92,528763.3,581802.98,0
feb-18,379239.07,502041.67,545210,0
mar-18,415125.9,571052.13,618402.18,0
abr-18,370434.61,526979.67,565665.72,0
may-18,403094.74,544395.17,570129.66,0
jun-18,390070.17,518911.44,554431.5,0
jul-18,381128.08,541811.12,589775.97,0
ago-18,407124.75,570224.11,593659.63,0
sep-18,385717.79,531285.29,551547.83,0
oct-18,408674.34,573751.47,579474.43,0
nov-18,408049.58,563417.57,573687.35,0
dic-18,421872.09,632670.17,654281.25,0
ene-19,421555.41,596682.75,601714.9,0
feb-19,402371.33,559109.22,565425.02,0
mar-19,428149.45,645266.77,610720.58,0
abr-19,414018.68,657570.18,598956.3,0
may-19,426587.33,666748.63,611592.32,0
jun-19,399031.61,641136.56,595744.38,0
jul-19,419958.02,650150.78,615559.33,0
ago-19,419493.82,668783.39,632415.7,0
sep-19,396860.64,616079.3,587861.84,0
oct-19,433917.15,669008.77,643044.33,0
nov-19,430725.89,643070.35,620572.21,0
dic-19,428697.64,706020.77,682468.14,0
ene-20,421644.72,640011.73,622323.79,0
feb-20,426533.15,652028,633100.05,0
mar-20,420637.14,573586.73,509752.95,0
abr-20,345933.61,458420.85,391773.23,0
may-20,362987.37,478771.83,407482.52,0
jun-20,402541.02,516933.6,388952.81,0
jul-20,423328.22,567052.5,462380.81,0
ago-20,483695.9,647375.58,574379.33,0
sep-20,439581.36,661665.58,610445.1,0
oct-20,459312.45,680362.07,648582.82,0
nov-20,421504.59,652630.16,639856.62,0
dic-20,481068.86,768193.03,760695.45,0
ene-21,485759.13,685942.97,655512.66,0
feb-21,447847.05,669312.88,621712.09,0
mar-21,513966.39,773453.52,692240.49,0
abr-21,466275.27,688389.03,610310.75,0
may-21,475018.36,707336.38,643076.84,0
jun-21,475462.79,692598.71,637332.81,0
